id,name,date,date_approx,location,county,country,lat,lon,crop,geometry,size_m,circles,origin,maker,era,significance,sources,year,month,geometry_family
23,Silbury Hill Koch I snowflake,1997-07-23,0,Silbury Hill,Wiltshire,England,51.416,-1.857,wheat,Koch snowflake fractal,,,reported-unexplained,—,Fractal golden age (1996–2000),Six-pointed Koch fractal 'Fractal Star of David',lucypringle.co.uk (uk1997bw),1997,7,fractal
24,Milk Hill Koch II fractal,1997-08-08,0,"Milk Hill, Stanton St Bernard",Wiltshire,England,51.371,-1.851,wheat,inverted Koch fractal,60.0,,reported-unexplained,—,Fractal golden age (1996–2000),More complex inversion of the Koch snowflake,lucypringle.co.uk (uk1997cm),1997,8,fractal
25,Hackpen Hill 'Strange Attractor',1997-08-18,0,"Hackpen Hill, Broad Hinton",Wiltshire,England,51.5,-1.86,wheat,fractal triangle,,,reported-unexplained,—,Fractal golden age (1996–2000),Koch/Sierpinski-like fractal triangle,greatdreams.com/strng.htm,1997,8,fractal
26,Chilbolton Sierpinski diamond,1999-06-12,1,Chilbolton,Hampshire,England,51.144,-1.437,wheat,Sierpinski-gasket fractal,,,reported-unexplained,—,Fractal golden age (1996–2000),Fractal diamond at the radio telescope; precursor to 2001,greatdreams.com,1999,6,fractal
27,Daily Mail 3-D impossible triangle,1999-07-01,1,Wiltshire,Wiltshire,England,51.35,-1.85,wheat,3-D impossible triangle,60.0,,commercial-commission,Circlemakers (Daily Mail commission),Fractal golden age (1996–2000),First commissioned 3-D-illusion formation,circlemakers.org/new_documents.html,1999,7,3-D illusion
28,Chilbolton fractal ('telescope'),2000-08-13,0,Chilbolton,Hampshire,England,51.144,-1.437,wheat,fractal of interlocked circles,,,reported-unexplained,—,Fractal golden age (1996–2000),Later depicted at the foot of the 2001 'Arecibo reply',cropcircleconnector.com/Sorensen 2000,2000,8,fractal
29,Picked Hill pi mandala,2000-08-13,0,"Picked Hill, Alton Priors",Wiltshire,England,51.36,-1.87,wheat,pi mandala,,44.0,reported-unexplained,—,Fractal golden age (1996–2000),44 circles + 14 concentric rings expressing pi,temporarytemples.co.uk,2000,8,math/code
30,Milk Hill 'Galaxy Spiral',2001-08-12,0,"Milk Hill, Alton Barnes",Wiltshire,England,51.371,-1.851,wheat,six-arm galaxy spiral,240.0,409.0,reported-unexplained,credit claimed by Circlemakers (unproven),Peak & message era (2001–02),Largest complex formation in history: 409 circles; size disputed 160–300 m,temporarytemples.co.uk; isgp-studies.com,2001,8,fractal
31,Chilbolton 'Face',2001-08-14,0,Chilbolton,Hampshire,England,51.144,-1.437,wheat,halftone pixel face,55.0,,reported-unexplained,—,Peak & message era (2001–02),First rectangular formation; dot-matrix humanoid face readable only from the air,skepticalinquirer.org 2014,2001,8,message/portrait
32,Chilbolton 'Arecibo reply',2001-08-19,0,Chilbolton,Hampshire,England,51.144,-1.437,wheat,binary grid (23×73),36.0,,reported-unexplained,—,Peak & message era (2001–02),"Remix of the 1974 Arecibo message: added silicon, alien figure, altered solar system",vigay.com; wikipedia,2001,8,message/portrait
33,Crabwood alien face & disc,2002-08-15,0,"Crabwood, near Sparsholt",Hampshire,England,51.03,-1.22,wheat,scanline alien + binary disc,60.0,,reported-unexplained,—,Peak & message era (2001–02),ASCII disc: 'Beware the bearers of FALSE gifts…'; days after movie Signs,cropcirclearchives.co.uk,2002,8,message/portrait
34,South Field 'Squared Ropes',2002-07-22,0,Alton Barnes,Wiltshire,England,51.36,-1.86,wheat,interlocking squares,,,reported-unexplained,—,Peak & message era (2001–02),Acclaimed interlocking-squares geometry,cropcircleaccess.com,2002,7,geometry
35,Crooked Soley DNA ring,2002-08-28,0,Crooked Soley,Berkshire,England,51.35,-1.53,wheat,DNA helix ring,,,reported-unexplained,—,Peak & message era (2001–02),Double helix curled into a ring; considered among the most beautiful,temporarytemples.co.uk,2002,8,pictogram
36,Silbury Hill Greco-Egyptian mandala,2004-08-02,0,Silbury Hill,Wiltshire,England,51.416,-1.857,wheat,3-D mandala,,,reported-unexplained,—,Math & mega era (2004–10),Gigantic 3-D-illusion mandala beside Silbury Hill,temporarytemples.co.uk,2004,8,3-D illusion
37,Hello Kitty commission,2004-06-01,1,Wiltshire,Wiltshire,England,51.35,-1.85,wheat,character portrait,60.0,,commercial-commission,Circlemakers (commercial commission),Math & mega era (2004–10),200-ft Hello Kitty face — corporate commission era,monstrous.com; circlemakers.org,2004,6,message/portrait
38,The Sun Olympic-rings circles,2005-06-01,1,Wiltshire,Wiltshire,England,51.35,-1.85,wheat,Olympic rings,,5.0,commercial-commission,Circlemakers for The Sun,Math & mega era (2004–10),Front-page London 2012 bid campaign,circlemakers.org,2005,6,logo/brand
39,Nike footprint circles (Italy),2005-05-01,1,Milan/Rome/Foggia,Lombardy/Lazio/Apulia,Italy,45.46,12.0,wheat,brand footprints,,,commercial-commission,Circlemakers for Nike,Math & mega era (2004–10),International advertising commission,circlemakers.org/exhibit_a.html,2005,5,logo/brand
40,Wayland's Smithy 'The Towers' 3-D,2006-07-08,0,"Wayland's Smithy, Ashbury",Oxfordshire,England,51.57,-1.59,wheat,3-D skyscraper illusion,,,reported-unexplained,—,Math & mega era (2004–10),Daily Mail: 'world's first three-dimensional crop circle',wired.com/2006/08/cropcircles,2006,7,3-D illusion
41,East Field 'Om',2007-07-01,1,"East Field, Alton Barnes",Wiltshire,England,51.36,-1.86,wheat,Om symbol,300.0,,reported-unexplained,—,Math & mega era (2004–10),">1,000-ft design; allegedly followed a 3 a.m. flash during a nightwatch","Hambledon parish magazine, Jan 2008",2007,7,pictogram
42,Barbury Castle pi,2008-06-01,0,Barbury Castle,Wiltshire,England,51.485,-1.785,barley,ratchet wheel encoding pi,46.0,,reported-unexplained,—,Math & mega era (2004–10),Encodes pi to 10 digits (3.141592654); decoded by astrophysicist Michael Reed,"telegraph.co.uk, 17 Jun 2008",2008,6,math/code
43,Avebury Manor 'solar system',2008-07-15,0,Avebury,Wiltshire,England,51.4286,-1.8539,wheat,planetary alignment chart,,,reported-unexplained,—,Math & mega era (2004–10),Showed planetary positions for 21 Dec 2012,cropcircleaccess.com,2008,7,math/code
44,08-08-08 infinity figure,2008-08-08,0,Vale of Pewsey,Wiltshire,England,51.35,-1.9,wheat,figure-eight/infinity,240.0,,reported-unexplained,—,Math & mega era (2004–10),~800-ft figure eight laid on 08/08/08,cropcircleaccess.com,2008,8,geometry
45,Oxfordshire 'Jellyfish',2009-05-29,0,Kingstone Coombes,Oxfordshire,England,51.57,-1.59,barley,jellyfish pictogram,183.0,,reported-unexplained,—,Math & mega era (2004–10),~600-ft jellyfish — 3× typical size; first animal pictogram wave,"telegraph.co.uk, 2 Jun 2009",2009,5,pictogram
46,Yatesbury 'Dragonfly',2009-06-03,0,Yatesbury,Wiltshire,England,51.45,-1.91,barley,dragonfly pictogram,46.0,,reported-unexplained,—,Math & mega era (2004–10),"2009 'animal theme' season (jellyfish, dragonfly, hummingbird, phoenix)","telegraph.co.uk, 4 Jun 2009",2009,6,pictogram
47,Silbury 'Mayan headdress',2009-07-05,0,Silbury Hill,Wiltshire,England,51.416,-1.857,wheat,headdress pictogram,,,reported-unexplained,—,Math & mega era (2004–10),Linked in press to 2012 apocalypse themes,"telegraph.co.uk, 8 Jul 2009",2009,7,pictogram
48,Wilton Windmill 'Euler's identity',2010-05-22,0,Wilton Windmill,Wiltshire,England,51.35,-1.58,oilseed rape,12-spoke binary wheel,,,reported-unexplained,—,Math & mega era (2004–10),Encodes Euler's identity in binary,"livescience.com, 8 Jun 2010",2010,5,math/code
49,Korn concert circle,2010-06-01,1,Bakersfield,California,USA,35.37,-119.02,wheat,band logo,213.0,,commercial-commission,Circlemakers for Korn,Commercial/decline era (2011–25),700×230 ft secret-gig artwork,circlemakers.org/korn_circle.html,2010,6,logo/brand
50,Olympic rings stunt (Heathrow flight path),2012-07-01,1,London Heathrow approach,Greater London,England,51.47,-0.45,wheat,Olympic rings,,5.0,commercial-commission,publicity stunt (revealed),Commercial/decline era (2011–25),Visible to Heathrow arrivals during London 2012,"Forbes, 9 Jul 2012",2012,7,logo/brand
51,Hackpen Hill 3-D cubes,2012-08-26,0,Hackpen Hill,Wiltshire,England,51.5,-1.86,wheat,3-D cube illusion,,,reported-unexplained,—,Commercial/decline era (2011–25),Acclaimed 3-D illusion; Circlemakers called it 2012's 'fitting finale',circlemakers.org,2012,8,3-D illusion
52,Chualar 'Nvidia' circle,2013-12-30,0,"Chualar, Salinas Valley",California,USA,36.57,-121.52,barley,chip schematic,94.0,,commercial-commission,Nvidia (Tegra K1 launch; '192' in Braille),Commercial/decline era (2011–25),Viral worldwide before the CES reveal — biggest circle story of the decade,cnn.com/ksl.com; denverpost.com,2013,12,other
53,Mulino Bianco commission,2016-05-01,1,Tuscany,Tuscany,Italy,43.4,11.0,wheat,brand artwork,,,commercial-commission,Circlemakers,Commercial/decline era (2011–25),Italian commercial commission,circlemakers.org,2016,5,logo/brand
54,Supreme box-logo circle,2017-08-01,1,(secret location),California,USA,36.7,-119.7,wheat,streetwear logo,91.0,,commercial-commission,Circlemakers for Supreme,Commercial/decline era (2011–25),300-ft fashion-brand commission,circlemakers.org,2017,8,logo/brand
55,Star Wars Rebel Alliance circle,2017-12-13,0,Bay Area,California,USA,37.8,-122.3,grass,Rebel Alliance insignia,,,circlemakers-art,a father and his 11-year-old son,Commercial/decline era (2011–25),3-ha 'X-wing spaceport' family artwork,"KGO-TV/ABC7, 13 Dec 2017",2017,12,logo/brand
56,Cley Hill 'coronavirus',2020-05-30,0,"Cley Hill, Warminster",Wiltshire,England,51.19,-2.24,barley,spike-ball (virion-like),,,reported-unexplained,—,Commercial/decline era (2011–25),Spike-ball design widely compared to SARS-CoV-2,"gazetteandherald.co.uk, 31 May 2020",2020,5,pictogram
57,Sixpenny Handley yin-yang,2020-05-31,0,Sixpenny Handley,Dorset,England,50.97,-2.0,barley,yin-yang,,,reported-unexplained,—,Commercial/decline era (2011–25),Paired in coverage with the Cley Hill virion,temporarytemples.co.uk,2020,5,pictogram
58,Potterne Hill 18-fold mandala,2023-06-07,0,Potterne Hill,Wiltshire,England,51.32,-2.0,wheat,18-fold mandala,,,reported-unexplained,—,Commercial/decline era (2011–25),Prompted 'Wiltshire named crop-circle hotspot' press,"salisburyjournal.co.uk, 16 Jul 2023",2023,6,geometry
59,Stonehenge Visitor Centre circle,2024-06-30,0,Stonehenge Visitor Centre,Wiltshire,England,51.18,-1.83,barley,circle design,90.0,,reported-unexplained,—,Commercial/decline era (2011–25),~90 m formation beside the visitor centre,cropcircleaccess.com,2024,6,simple circles
60,Sutton Veny barley circle,2025-05-15,0,"Sutton Veny, Warminster",Wiltshire,England,51.18,-2.15,barley,circle design,75.0,,reported-unexplained,—,Commercial/decline era (2011–25),~75 m formation in the 2025 season,cropcircleaccess.com,2025,5,simple circles
